id,title,price,link,categories,description,rating,weight,image,stock_status
17707,Almonds Raw 300g,8.0,https://www.alrifai.com/shop/almonds-raw/,"All, Almonds, Nuts & Kernels, Nuts & Seeds, Raw Nuts & Seeds","Premium Almonds selected from the valleys of California for their rich taste and flavor. They are cleaned and packaged in a fresh serve tray.
A tasty and crunchy treat that you can enjoy. Eat from the tray, make almond milk, add them to your mixes, or chop and toss them into a salad along with other raw nuts from Rifai.
SOLD IN: Plastic Tray 300g (0.66 lb)
ALLERGEN NOTICE: Nuts",5.0,0.35 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Raw-Almonds_AH__0721.jpg?fit=700%2C700&ssl=1,In stock
17907,Almonds Hot,14.0,https://www.alrifai.com/shop/almonds-hot/,"All, Almonds, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Almonds selected from the valleys of California for their rich taste and flavor. Our Hot Almonds are dry roasted without adding fats or oil in the process. We use unique chilis that works well with the texture of the Almonds to give you a delectable snack
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts & gluten.
 ",5.0,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-Hot_AH__0565.jpg?fit=700%2C700&ssl=1,In stock
17908,Almonds KriKri,13.5,https://www.alrifai.com/shop/almonds-krikri/,"All, Almonds, Nuts & Kernels, Nuts & Seeds","Premium Almonds selected from the valleys of California for their rich taste and flavor. Almonds Krikri are coated with a unique crunchy layer and dry roasted to have a golden color.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts, Gluten
 ",4.85,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-Krikri_AH__0428.jpg?fit=700%2C700&ssl=1,In stock
17910,Almonds Salt & Vinegar,13.5,https://www.alrifai.com/shop/almonds-salt-vinegar/,"All, Almonds, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Almonds Dry Roasted without fats or oil and seasoned with English salt and vinegar flavor.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts.",4.75,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-Salt-and-Vinegar_AH__1236.jpg?fit=700%2C700&ssl=1,In stock
17904,Almonds Dry Roasted Unsalted,15.0,https://www.alrifai.com/shop/almonds-dry-roasted-unsalted/,"All, Almonds, Nuts & Kernels, Nuts & Seeds","Premium Almonds selected from the valleys of California for their rich taste and flavor. Savor the natural goodness of our Roasted Unsalted Almonds. Carefully selected and expertly roasted to perfection, these almonds offer a delightful crunch and rich nutty flavor without any added salt. Perfect for snacking, baking, or adding to your favorite recipes, our unsalted almonds are a wholesome and versatile choice for health-conscious individuals. Enjoy them straight out of the bag or incorporate them into your daily routine for a nutritious boost!
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb).
ALLERGEN NOTICE: Nuts.",NaN,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-American-Unsalted_AH__0580.jpg?fit=700%2C700&ssl=1,In stock
17911,Almonds Smoked,12.5,https://www.alrifai.com/shop/almonds-smoked/,"All, Almonds, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Almonds Dry Roasted without fats or oil and seasoned with smoke flavor.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts, Gluten.",4.97,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-Smoked_AH__0529.jpg?fit=700%2C700&ssl=1,In stock
17909,Almonds Lemon,14.0,https://www.alrifai.com/shop/almonds-lemon/,"All, Almonds, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Almonds selected from the valleys of California for their rich taste and flavor. Almonds Lemon are seasoned with crystal sea salt, lemon and dry roasted to a golden color.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts
 ",4.8,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-Lemon_AH__0571.jpg?fit=700%2C700&ssl=1,In stock
17705,Almond Butter,4.5,https://www.alrifai.com/shop/almond-butter/,"All, Almonds, Freshly Pressed Nut Butters, Nut Butters, Nut Spreads & Bars","If youÃ¢ÂÂve never tried almond butter, you are missing out on one of the most delicious and healthy alternatives to classic peanut butter, which has a number of impressive uses and health benefits.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
Source of Fibers
SOLD IN: Glass Jar or Plastic Container 160g
ALLERGEN NOTICE: nuts",NaN,0.2 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-Butter_AH__1301.jpg?fit=700%2C700&ssl=1,In stock
17906,Almonds Half Salted Ã¢ÂÂ Spanish,19.5,https://www.alrifai.com/shop/almonds-half-salted-spanish/,"All, Almonds, Nuts & Kernels, Nuts & Seeds","Premium Almonds selected from the valleys of Spain for their rich buttery taste. Our dry roasting technique brings the best aromatic flavor without adding fats or oil in the process.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts
 ",NaN,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-Spain-Half-Salted_AH__1233-1.jpg?fit=700%2C700&ssl=1,In stock
17703,4-NRGY Protein Nuts,4.0,https://www.alrifai.com/shop/4-nrgy-protein-nuts/,"All, Prepacks","Rifai 4-NRGY Protein Nuts is designed for a lifestyle in mind. We combine the power of dry roasted almonds, peanuts, chickpeas and other nuts and combine them with a vegan source of proteins from peas and spirulina.
Spirulina is rich in nutrients, according to the FDA, Spirulina contains significant amounts of calcium, niacin, potassium, magnesium, B vitamins and iron. It also has essential amino acids (compounds that are the building blocks of proteins). In fact, protein makes up about 60 to 70 percent of SpirulinaÃ¢ÂÂs dry weight.
Pea protein powder is a supplement made by extracting protein from yellow peas. ItÃ¢ÂÂs naturally vegan and hypoallergenic. Pea protein is a great source of iron and can aid muscle growth, weight loss and heart health.
4-NRGY provides 28g of protein per Serving
Each bag contains 1.6 servings
GOOD FOR YOU:
No MSGs (glutamates)
Source of Protein
Vegan Friendly
SOLD IN: Foil re-closeable 160g Ã¢ÂÂ 5.6 Oz
ALLERGEN NOTICE: Nuts.",5.0,0.2 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/4-NRGY.png?fit=317%2C431&ssl=1,In stock
