id,title,price,link,categories,description,rating,weight,image,stock_status,product_list
1,Nut Lover's Combo,14.00$,,offer,"Enjoy the natural goodness of raw almonds and cashews, perfect for snacking or adding to your favorite recipes.",N/A,N/A,N/A,In stock,"[17707,17726]"
2,Sweet & Savory Snack Pack,9.00$,,offer,A perfect mix of sweet and crunchy snacks for any time of the day.,N/A,N/A,N/A,In stock,"[17760,17709]"
3,Protein Power Duo,13.00$,,offer,Boost your protein intake with this powerful duo of protein-packed nuts and plant-based protein powder.,N/A,N/A,N/A,In stock,"[17703,17801]"
4,Healthy Mix Combo,22.00$,,offer,"A healthy and delicious mix of dried fruits and nuts, perfect for a nutritious snack.",N/A,N/A,N/A,In stock,"[18033,18031]"
5,Coffee Lover's Bundle,6.50$,,offer,Enjoy the best of both worlds with our classic and decaf coffee capsules.,N/A,N/A,N/A,In stock,"[20200,20202]"
6,Chocolate Indulgence Pack,55.00$,,offer,Indulge in the rich flavors of dark and milk chocolate-covered hazelnuts.,N/A,N/A,N/A,In stock,"[17961,18024]"
7,Trail Mix Combo,1.25$,,offer,"Perfect for on-the-go snacking, these trail mixes are packed with energy-boosting ingredients.",N/A,N/A,N/A,In stock,"[17877,17875]"
8,Nut Butter Duo,6.00$,,offer,Spread the love with this duo of creamy almond and peanut butter.,N/A,N/A,N/A,In stock,"[17705,18040]"
9,Dried Fruit Delight,9.50$,,offer,A sweet and healthy snack combo of dried apricots and golden raisins.,N/A,N/A,N/A,In stock,"[17917,17764]"
10,Spicy Snack Pack,30.00$,,offer,Spice up your snack game with these hot and spicy almonds and cashews.,N/A,N/A,N/A,In stock,"[17907,17927]"
18,"Buy 2, Get 1 Free - Coffee Lover's Special",7.50$,,offer,Enjoy a variety of coffee flavors with this buy 2 get 1 free offer on coffee capsules.,N/A,N/A,N/A,In stock,"[20200,20202,20206]"
19,"Buy 2, Get 1 Free - Chocolate Indulgence",58.00$,,offer,Indulge in a chocolate feast with this buy 2 get 1 free offer on premium chocolate-covered nuts.,N/A,N/A,N/A,In stock,"[17961,18024,17740]"
20,"Buy 2, Get Another Product Free - Snack Combo",33.00$,,offer,Buy two premium unsalted nuts and get a pack of grilled peanuts for free. Perfect for a healthy snack combo.,N/A,N/A,N/A,In stock,"[17904,17931,18043]"
21,"Buy 2, Get Another Product Free - Trail Mix Special",1.50$,,offer,Buy two trail mixes and get a third one for free. Perfect for on-the-go snacking.,N/A,N/A,N/A,In stock,"[17877,17875,17878]"
